Date,Open,High,Low,Close,Adj Close,Volume
2023-07-31,120.51000213623047,124.04000091552734,120.4800033569336,122.48999786376953,122.48999786376953,150400
2023-08-01,121.45999908447266,122.11000061035156,118.4800033569336,119.97000122070312,119.97000122070312,180300
2023-08-02,118.04000091552734,119.23999786376953,115.33999633789062,118.11000061035156,118.11000061035156,178000
2023-08-03,118.5,121.44999694824219,117.5199966430664,119.75,119.75,114500
2023-08-04,120.27999877929688,121.0999984741211,117.38999938964844,118.12000274658203,118.12000274658203,112800
2023-08-07,118.58999633789062,119.4000015258789,115.06999969482422,116.55999755859375,116.55999755859375,146000
2023-08-08,113.69000244140625,117.05000305175781,111.55000305175781,117.05000305175781,117.05000305175781,198200
2023-08-09,118.0,121.83999633789062,116.54000091552734,116.87000274658203,116.87000274658203,185400
2023-08-10,116.83999633789062,118.6500015258789,112.72000122070312,114.45999908447266,114.45999908447266,177000
2023-08-11,113.87000274658203,116.91000366210938,113.87000274658203,114.37999725341797,114.37999725341797,120000
2023-08-14,113.66000366210938,113.66000366210938,110.93000030517578,112.5999984741211,112.5999984741211,152800
2023-08-15,111.20999908447266,111.83999633789062,108.01000213623047,108.4800033569336,108.4800033569336,156100
2023-08-16,108.63999938964844,112.12999725341797,107.70999908447266,107.76000213623047,107.76000213623047,135700
2023-08-17,109.88999938964844,111.30000305175781,107.41999816894531,107.44000244140625,107.44000244140625,115300
2023-08-18,105.83999633789062,110.27999877929688,105.7699966430664,109.41999816894531,109.41999816894531,196400
2023-08-21,109.41999816894531,110.93000030517578,108.05000305175781,110.12000274658203,110.12000274658203,128700
2023-08-22,110.27999877929688,111.11000061035156,108.27999877929688,109.26000213623047,109.26000213623047,142600
2023-08-23,107.88999938964844,109.81999969482422,103.81999969482422,108.72000122070312,108.72000122070312,159000
2023-08-24,106.55999755859375,111.05999755859375,106.4800033569336,108.06999969482422,108.06999969482422,232000
2023-08-25,109.45999908447266,110.12000274658203,106.91000366210938,108.45999908447266,108.45999908447266,121900
2023-08-28,109.44000244140625,112.5,109.20999908447266,110.69999694824219,110.69999694824219,122900
2023-08-29,110.5999984741211,112.80999755859375,109.0,112.16999816894531,112.16999816894531,90400
2023-08-30,112.63999938964844,114.0199966430664,111.30999755859375,111.95999908447266,111.95999908447266,104400
2023-08-31,112.5,112.79000091552734,109.77999877929688,110.69000244140625,110.69000244140625,136200
2023-09-01,113.02999877929688,122.31999969482422,113.02999877929688,121.13999938964844,121.13999938964844,260800
2023-09-05,120.86000061035156,128.2899932861328,120.86000061035156,122.08999633789062,122.08999633789062,349600
2023-09-06,121.58000183105469,123.0,118.5,121.79000091552734,121.79000091552734,205200
2023-09-07,120.52999877929688,122.12999725341797,118.80000305175781,121.08000183105469,121.08000183105469,157600
2023-09-08,120.86000061035156,126.61000061035156,120.86000061035156,124.2300033569336,124.2300033569336,156700
2023-09-11,124.98999786376953,127.55999755859375,123.30000305175781,124.36000061035156,124.36000061035156,206000
2023-09-12,125.4000015258789,131.97000122070312,125.2699966430664,130.8000030517578,130.8000030517578,168500
2023-09-13,131.8699951171875,132.27000427246094,129.00999450683594,130.77000427246094,130.77000427246094,220900
2023-09-14,133.8800048828125,136.88999938964844,132.63999938964844,135.89999389648438,135.89999389648438,228700
2023-09-15,134.08999633789062,137.47000122070312,132.9499969482422,136.39999389648438,136.39999389648438,519100
2023-09-18,137.10000610351562,138.75999450683594,134.27999877929688,138.3800048828125,138.3800048828125,410900
2023-09-19,139.97000122070312,141.47000122070312,133.35000610351562,133.99000549316406,133.99000549316406,186400
2023-09-20,133.24000549316406,136.36000061035156,129.0,129.33999633789062,129.33999633789062,232400
2023-09-21,129.0800018310547,129.0800018310547,123.41000366210938,123.5,123.5,197000
2023-09-22,125.51000213623047,126.95999908447266,122.18000030517578,122.91999816894531,122.91999816894531,257700
2023-09-25,121.63999938964844,125.91999816894531,120.36000061035156,124.97000122070312,124.97000122070312,151500
2023-09-26,123.27999877929688,126.68000030517578,120.19999694824219,121.1500015258789,121.1500015258789,170100
2023-09-27,123.83999633789062,129.6999969482422,123.25,128.66000366210938,128.66000366210938,157700
2023-09-28,128.0800018310547,129.85000610351562,124.75,127.43000030517578,127.43000030517578,167500
2023-09-29,127.48999786376953,127.94000244140625,122.4800033569336,123.13999938964844,123.13999938964844,182700
2023-10-02,123.29000091552734,123.29000091552734,115.05000305175781,116.38999938964844,116.38999938964844,221700
2023-10-03,115.69999694824219,116.68000030517578,113.20999908447266,116.62000274658203,116.62000274658203,157100
2023-10-04,113.62999725341797,113.62999725341797,107.69999694824219,109.16999816894531,109.16999816894531,308800
2023-10-05,107.72000122070312,111.0199966430664,104.72000122070312,104.86000061035156,104.86000061035156,269600
2023-10-06,104.4000015258789,109.23999786376953,101.7300033569336,107.05000305175781,107.05000305175781,282900
2023-10-09,109.97000122070312,113.9800033569336,109.97000122070312,112.87999725341797,112.87999725341797,219600
2023-10-10,112.58999633789062,115.33999633789062,112.58999633789062,114.2699966430664,114.2699966430664,144000
2023-10-11,113.25,116.88999938964844,112.30000305175781,116.58000183105469,116.58000183105469,156800
2023-10-12,118.13999938964844,118.97000122070312,113.4800033569336,115.4800033569336,115.4800033569336,114900
2023-10-13,119.0,119.88999938964844,116.29000091552734,118.3499984741211,118.3499984741211,209300
2023-10-16,119.38999938964844,120.25,117.0999984741211,118.76000213623047,118.76000213623047,185900
2023-10-17,122.61000061035156,127.31999969482422,121.0,125.9800033569336,125.9800033569336,207200
2023-10-18,127.29000091552734,127.55999755859375,123.12000274658203,125.23999786376953,125.23999786376953,225200
2023-10-19,123.37000274658203,125.87000274658203,121.55999755859375,123.58000183105469,123.58000183105469,263700
2023-10-20,123.2300033569336,123.94000244140625,116.83000183105469,118.83999633789062,118.83999633789062,261000
2023-10-23,117.51000213623047,118.0,114.18000030517578,115.5199966430664,115.5199966430664,197700
2023-10-24,116.30000305175781,116.30000305175781,113.30999755859375,114.66000366210938,114.66000366210938,198300
2023-10-25,114.63999938964844,115.2300033569336,111.55999755859375,113.51000213623047,113.51000213623047,180700
2023-10-26,108.70999908447266,109.29000091552734,98.55000305175781,106.45999908447266,106.45999908447266,689200
2023-10-27,106.0,107.08999633789062,101.79000091552734,102.83000183105469,102.83000183105469,346700
2023-10-30,103.41999816894531,105.48999786376953,97.63999938964844,99.30999755859375,99.30999755859375,434800
2023-10-31,100.0,101.16000366210938,96.0199966430664,97.63999938964844,97.63999938964844,180100
2023-11-01,98.13999938964844,99.29000091552734,93.58999633789062,95.44000244140625,95.44000244140625,282400
2023-11-02,96.81999969482422,99.19999694824219,94.81999969482422,98.94999694824219,98.94999694824219,374500
2023-11-03,100.37000274658203,102.7300033569336,100.0,100.83000183105469,100.83000183105469,219700
2023-11-06,101.6500015258789,101.6500015258789,96.38999938964844,96.7699966430664,96.7699966430664,247100
2023-11-07,94.47000122070312,95.4000015258789,90.3499984741211,90.98999786376953,90.98999786376953,340100
2023-11-08,90.33000183105469,93.4000015258789,88.16999816894531,88.73999786376953,88.73999786376953,327300
2023-11-09,90.48999786376953,91.88999938964844,88.19999694824219,88.30999755859375,88.30999755859375,381900
2023-11-10,89.4000015258789,90.02999877929688,88.2699966430664,89.33000183105469,89.33000183105469,296000
2023-11-13,89.30999755859375,92.2300033569336,87.16000366210938,92.16000366210938,92.16000366210938,204400
2023-11-14,93.58999633789062,96.18000030517578,93.33999633789062,95.66000366210938,95.66000366210938,267800
2023-11-15,95.31999969482422,97.9000015258789,94.27999877929688,94.44000244140625,94.44000244140625,326500
2023-11-16,92.6500015258789,93.62999725341797,88.58000183105469,89.30000305175781,89.30000305175781,282800
2023-11-17,90.95999908447266,94.16999816894531,89.95999908447266,93.4000015258789,93.4000015258789,261300
2023-11-20,95.29000091552734,96.66999816894531,93.87999725341797,94.94999694824219,94.94999694824219,160800
2023-11-21,94.0,94.0199966430664,92.0,93.11000061035156,93.11000061035156,286200
2023-11-22,90.77999877929688,93.97000122070312,89.41000366210938,92.55999755859375,92.55999755859375,332700
